OBJECTID,XID,CALENDAR_YEAR,CRASH_NUMBER,CASE_NUMBER,INVSTGT_AGCY_CD,AGENCY_TYPE_TXT,DOT_GEOG_DIST_CD,DOT_CNTY_CD,COUNTY_TXT,CRASH_DATE,CRASH_TIME,DAYOWEEK,WEEKDAY_TXT,DHSMV_CTY_CD,DHSCNTYCTY,IN_TOWN_FLAG,ON_ROADWAY_NAME,INT_ROADWAY_NAME,REFDISTANCE_MI,REFDIRECT,OFFICER_LATITUDE,OFFICER_LONGITUDE,SAFETYLAT,SAFETYLON,ROADWAYID,LOCMP,NEAREST_NODE_FROM_CRASH,STATE_ROAD_NUMBER,US_ROAD_NUMBER,ACCSIDRD,ACCLANE,TRAVDIR,CRRATECD,DHSRDSYS,JCT_CD,FRST_HARM_LOC_CD,INTCT_TYP_CD,TYPESHLD,SKID_NUMBER,SKID_TEST_DATE,FUNCLASS,RCI_SURFACE_WIDTH_FT,RCI_SHOULDER_TYPE_1,RCI_SHOULDER_TYPE_1_TXT,RCI_SHOULDER_WIDTH_1_FT,RCI_SHOULDER_TYPE_2,RCI_SHOULDER_TYPE_2_TXT,RCI_SHOULDER_WIDTH_2_FT,RCI_SHOULDER_TYPE_3,RCI_SHOULDER_TYPE_3_TXT,RCI_SHOULDER_WIDTH_3_FT,RCI_MEDIAN_WIDTH_FT,AVERAGE_DAILY_TRAFFIC,AADT_SOURCE,RCI_AVG_PERC_TRUCK_TRAFF,RCI_HORIZ_CURVE_CD,SPEED_LIMIT,INJSEVER,CARSTACD,ALCINVCD,SITELOCA,LGHT_COND_CD,EVNT_WTHR_COND_CD,RD_SRFC_COND_CD,RDWY_GRDE_CD,RDWY_ALIGN_CD,TRAF_WAY_CD,V1_TRAF_WAY_CD,V1_TRAF_WAY_CD_TXT,V2_TRAF_WAY_CD,V2_TRAF_WAY_CD_TXT,V1TRAFCTL,V1TRAFCTL_TXT,V2TRAFCTL,V2TRAFCTL_TXT,TRAFFIC_CONTROL_MC,CNTOFLANES,ROADCOND1,ROADCOND1_TXT,ROADCOND2,ROADCOND2_TXT,ROADCOND3,ROADCOND3_TXT,ROAD_CONDITION_MC,ENVIRNMT1,ENVIRNMT1_TXT,ENVIRNMT2,ENVIRNMT2_TXT,ENVIRNMT3,ENVIRNMT3_TXT,ENVIRONMENT_CONDITION_MC,MOST_HARM_EVNT_CD,IMPCT_TYP_CD,VHCL_MOVE_CD,D1_FRST_DR_ACTN_CD,D1_FRST_DR_ACTN_CD_TXT,D2_FRST_DR_ACTN_CD,D2_FRST_DR_ACTN_CD_TXT,DRIVER_ACTION_MC,LOC_WTHN_ZONE_CD,WRK_ZONE_TYP_CD,WRK_PRSNT_CD,LAW_ENFRC_PRSNT_CD,SCHL_BUS_REL_CD,NUMBER_OF_INJURED,NUMBER_OF_KILLED,NUMBER_OF_SERIOUS_INJURIES,NUMBER_OF_PEDESTRIANS,TOTAL_DRIVERS,NUMBER_OF_BICYCLISTS,NUMBER_OF_VEHICLES,TOTAL_PERSONS,WRONGWAY_IND,WORKZONE_IND,COMMERCIAL_VEHICLE_IND,INTERSECTION_IND,LANE_DEPARTURE_IND,CRASH_CLASS_IND_MC,SPEEDING_IND,AGGRESSIVE_DRIVING_IND,IMPAIRED_DRIVER_IND,IMPAIRED_PEDESTRIAN_IND,IMPAIRED_BICYCLIST_IND,DISTRACTED_DRIVER_IND,DRIVER_PEDEST_CONDIT_IND_MC,SPEEDING_AGGRESSIVE_IND,PEDESTRIAN_RELATED_IND,BICYCLIST_RELATED_IND,PEDESTRIAN_BICYCLIST_IND,MOTORCYCLE_INVOLVED_IND,NO_BELT_IND,NO_BELT_AGE_1_4_IND,NO_BELT_AGE_5_12_IND,NO_BELT_AGE_13_17_IND,AGE_TEEN_IND,AGE_65_PLUS_IND,AGE_65_69_IND,AGE_70_74_IND,AGE_75_79_IND,AGE_80_PLUS_IND,LINK_ID,CRSH_REF_NODE_ID,CRSH_XTMREF_NOD_ID,DSTNC_TOXTRNOD_NUM,CRSH_XTRREFNODB_ID,DST_TOXTRMNODB_NUM,LATITUDE,LONGITUDE,X_COORDINATE,Y_COORDINATE,ARBM_ROADSIDE,GEO_URBAN_RURAL_IND,MAP_SOURCE,EXTRACT_DATE,ARBM_ROAD_STATUS
3317214,2022249006380,2022,249006380,FHP22ON0131746,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1647388800000,1602,03,WEDNESDAY,0100,5300,N,US 17,PINE VILLA CIR,0.028,N,27.02774,-81.95864,27.0118465,-81.9585036,01040201,2.828,01061,SR 35,US 17,L,2,N,26,03,01,01,01,02,37,1565568000000,04,24.0,01,PAVED,5.0,03,LAWN,12.0,,,0.0,66.0,11700.0,RCI,18.0,,60.0,4,31,0,01,01,01,01,01,1,03,03,"TWO-WAY, DIVIDED, UNPROTECTED",04,"TWO-WAY, DIVIDED, POSITIVE MED",01,NO CONTROLS,01,NO CONTROLS,"01, 01",4,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",14,02,01,21,WRONG SIDE OF WRONG WAY,01,NO CONTRIBUTING ACTION,"21, 01",00,00,00,00,01,3,0,3,0,2,0,2,3,Y,N,N,N,Y,"00, 00, 00, 04",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,0,0,0,0.0,0,0.0,27.01186945,-81.958771419,404882.675993,2988111.364132,L,,ARBM15Q1R2,1686452483000,
3317470,2022895865730,2022,895865730,FHP22ON0137639,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1647648000000,1503,06,SATURDAY,0100,5300,N,US 17,PERSAY DR,0.0,,26.9608394,-81.9857618,26.9610011,-81.9856068,01040000,4.736,00035,SR 35,US 17,R,2,N,20,03,02,01,04,03,41,1565568000000,14,22.0,01,PAVED,4.0,06,CURB&GUTTER,2.0,,,0.0,52.0,16000.0,RCI,20.9,,50.0,4,31,0,02,01,01,01,01,1,04,04,"TWO-WAY, DIVIDED, POSITIVE MED",01,"TWO-WAY, NOT DIVIDED",01,NO CONTROLS,06,STOP SIGN,"01, 06",4,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",14,03,01,25,FAILED TO KEEP IN PROPER LANE,01,NO CONTRIBUTING ACTION,"25, 01",00,00,00,00,01,3,0,1,0,2,0,2,3,N,N,N,Y,N,"00, 00, 03, 00",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,0,0,0,0.0,0,0.0,26.960976888,-81.985625924,402174.344311,2982494.596029,R,,ARBM15Q1R2,1686452483000,
3317471,2022895865760,2022,895865760,FHP22ON0162160,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1648771200000,0940,05,FRIDAY,0100,5300,N,I 75,US 17,0.047,S,26.9390209,-82.0208112,26.939155,-82.0211866,01075312,0.047,01231,SR 93,I 75,L,X,E,08,01,14,07,01,02,0,978307200000,,16.0,01,PAVED,2.0,03,LAWN,8.0,,,0.0,,5000.0,RCI,13.6,,,1,31,0,07,01,02,01,01,2,05,05,ONE-WAY TRAFFICWAY,,,01,NO CONTROLS,00,NOT CODED,"01, 00",1,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",34,77,15,01,NO CONTRIBUTING ACTION,00,NOT CODED,"01, 00",00,00,00,00,01,0,0,0,0,1,0,1,2,N,N,N,N,Y,"00, 00, 00, 04",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,0,0,0.0,0,0.0,26.939188142,-82.021208451,398622.980124,2980109.127723,O,,ARBM15Q1R2,1686452483000,
3317503,2022884364110,2022,884364110,FHP22ON0061258,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1644105600000,2021,07,SUNDAY,0100,5300,N,I 75,CR 762,2.0,S,26.8435256,-81.9673535,26.8325547,-81.9564045,01075000,6.483,00569,SR 93,I 75,R,S,N,02,01,01,02,01,01,37,1621296000000,01,36.0,02,PAVED WARN,10.0,03,LAWN,12.0,,,0.0,142.0,49500.0,RCI,16.0,,70.0,4,31,0,01,05,01,01,01,1,04,04,"TWO-WAY, DIVIDED, POSITIVE MED",,,01,NO CONTROLS,00,NOT CODED,"01, 00",6,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,77,01,02,OPERATED MV IN CARLESS OR NEGL,00,NOT CODED,"02, 00",00,00,00,00,01,1,0,1,0,1,0,1,1,N,N,N,N,Y,"00, 00, 00, 04",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,0,0,0,0.0,0,0.0,26.832483466,-81.956320439,404975.666415,2968239.444997,R,,ARBM15Q1R2,1686452483000,
3317506,2022884467210,2022,884467210,FHP22ON0068422,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1644537600000,0100,05,FRIDAY,0100,5300,N,US 17,SHELL CREEK CT,0.189,N,26.9827877,-81.9592632,26.9793472,-81.9591484,01040201,0.592,01040,SR 35,US 17,L,S,S,20,02,01,02,01,03,45,1565568000000,14,24.0,01,PAVED,4.0,06,CURB&GUTTER,2.0,,,0.0,49.0,14300.0,RCI,18.5,,55.0,4,31,0,01,04,01,01,01,1,04,04,"TWO-WAY, DIVIDED, POSITIVE MED",,,01,NO CONTROLS,00,NOT CODED,"01, 00",4,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",30,77,01,02,OPERATED MV IN CARLESS OR NEGL,00,NOT CODED,"02, 00",00,00,00,00,01,1,0,1,0,1,0,1,1,N,N,N,N,Y,"00, 00, 00, 04",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0.0,0,0.0,26.979452955,-81.959373526,404795.644954,2984521.097399,L,,ARBM15Q1R2,1686452483000,
3317507,2022884467240,2022,884467240,FHP22ON0092186,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1645574400000,2003,03,WEDNESDAY,0100,5300,N,US 17,I 75,0.0,,26.9398077,-82.0212466,26.9396396,-82.0218357,01040000,2.01,00695,SR 35,US 17,R,3,S,33,02,02,01,03,02,40,1565568000000,14,36.0,01,PAVED,11.0,03,LAWN,12.0,03,LAWN,12.0,41.0,19800.0,RCI,6.8,,55.0,4,31,0,02,04,01,01,01,1,04,04,"TWO-WAY, DIVIDED, POSITIVE MED",04,"TWO-WAY, DIVIDED, POSITIVE MED",05,TRAFFIC CONTROL SIGNAL,05,TRAFFIC CONTROL SIGNAL,"05, 05",6,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",14,03,03,03,FAILED TO YIELD RIGHT-OF-WAY,01,NO CONTRIBUTING ACTION,"03, 01",00,00,00,00,01,6,0,6,0,2,0,2,6,N,N,N,Y,N,"00, 00, 03, 00",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,0,0,0,0.0,0,0.0,26.939596038,-82.02187338,398557.332519,2980154.843143,R,,ARBM15Q1R2,1686452483000,
3317593,2022249457370,2022,249457370,FHP22ON0211864,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1651104000000,0646,04,THURSDAY,0100,5300,N,I 75,CR 762,3.0,S,26.821878,-81.9441236,26.8224097,-81.9448093,01075000,5.483,00941,SR 93,I 75,R,S,N,02,01,01,03,01,01,37,1621296000000,01,36.0,02,PAVED WARN,10.0,03,LAWN,12.0,,,0.0,142.0,49500.0,RCI,16.0,,70.0,1,31,0,01,01,01,01,01,1,04,04,"TWO-WAY, DIVIDED, POSITIVE MED",,,01,NO CONTROLS,00,NOT CODED,"01, 00",6,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,77,01,26,RAN OFF ROADWAY,00,NOT CODED,"26, 00",00,00,00,00,01,0,0,0,0,1,0,1,1,N,N,Y,N,Y,"00, 02, 00, 04",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0.0,0,0.0,26.822327909,-81.944708419,406121.180791,2967105.918363,R,,ARBM15Q1R2,1686452483000,
3317834,2022895696760,2022,895696760,FHP22ON0033712,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1642723200000,1540,05,FRIDAY,0100,5300,N,US 41,SR 776,0.049,S,27.0121399,-82.1443,27.0126443,-82.145439,01010000,21.85,01085,SR 45,US 41,L,S,S,30,02,01,02,01,01,39,1621296000000,14,39.0,06,CURB&GUTTER,4.0,03,LAWN,0.0,,,0.0,29.0,36500.0,RCI,4.5,,45.0,4,31,0,01,01,01,01,01,1,04,04,"TWO-WAY, DIVIDED, POSITIVE MED",,,01,NO CONTROLS,00,NOT CODED,"01, 00",6,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",36,77,01,02,OPERATED MV IN CARLESS OR NEGL,00,NOT CODED,"02, 00",00,00,00,00,01,1,0,1,0,1,0,1,1,N,N,N,N,Y,"00, 00, 00, 04",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0.0,0,0.0,27.012495782,-82.145549195,386352.206471,2988335.317532,L,,ARBM15Q1R2,1686452483000,
3317835,2022895696780,2022,895696780,FHP22ON0059096,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1644019200000,1255,06,SATURDAY,0100,5300,N,SR 776,HOLLIS AVE,0.0,,26.97335,-82.20913,26.97309,-82.2089808,01050000,12.345,00076,SR 776,,R,1,W,20,03,02,01,02,01,41,1565568000000,16,24.0,01,PAVED,4.0,06,CURB&GUTTER,2.0,,,0.0,46.0,32044.0,RCI,7.3,,55.0,5,31,0,02,01,01,01,01,1,01,01,"TWO-WAY, NOT DIVIDED",04,"TWO-WAY, DIVIDED, POSITIVE MED",06,STOP SIGN,01,NO CONTROLS,"06, 01",4,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",14,03,01,13,RAN STOP SIGN,01,NO CONTRIBUTING ACTION,"13, 01",00,00,00,00,01,1,1,0,0,2,0,2,2,N,N,N,Y,N,"00, 00, 03, 00",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,0,0,0,0.0,0,0.0,26.973124305,-82.208955048,380019.517985,2984032.709674,R,,ARBM15Q1R2,1686452483000,
3317894,2022249011460,2022,249011460,FHP22ON0153408,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1648339200000,1725,07,SUNDAY,0100,5300,N,US 41,MANDALAY RD,0.15,N,26.9012387,-82.0326527,26.9046045,-82.0362716,01010000,11.388,00730,SR 45,US 41,M,M,S,23,02,01,01,01,01,35,1621296000000,14,24.0,01,PAVED,4.0,03,LAWN,7.0,,,0.0,42.0,32500.0,RCI,6.6,,50.0,4,31,0,01,01,01,01,01,1,04,04,"TWO-WAY, DIVIDED, POSITIVE MED",,,01,NO CONTROLS,00,NOT CODED,"01, 00",4,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",25,77,03,01,NO CONTRIBUTING ACTION,00,NOT CODED,"01, 00",00,00,00,00,01,1,0,1,0,1,0,1,1,N,N,N,N,Y,"00, 00, 00, 04",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0.0,0,0.0,26.904564621,-82.036243547,397098.91646,2976286.066999,R,,ARBM15Q1R2,1686452483000,
3317900,2022249006460,2022,249006460,FHP22ON0177325,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1649462400000,0939,06,SATURDAY,0100,5300,N,SR 31,CR 74,4.0,S,26.9459,-81.7608299,26.8879524,-81.7600431,01030000,8.126,00004,SR 31,,R,1,S,18,03,01,01,01,02,43,1568678400000,06,24.0,01,PAVED,6.0,03,LAWN,11.0,,,0.0,,5200.0,RCI,41.9,,60.0,4,31,0,01,01,01,01,01,1,01,01,"TWO-WAY, NOT DIVIDED",01,"TWO-WAY, NOT DIVIDED",01,NO CONTROLS,01,NO CONTROLS,"01, 01",2,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",14,05,01,02,OPERATED MV IN CARLESS OR NEGL,01,NO CONTRIBUTING ACTION,"02, 01",00,00,00,00,01,9,0,2,0,2,0,2,9,N,N,N,N,Y,"00, 00, 00, 04",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0.0,0,0.0,26.887895787,-81.760046087,424515.934288,2974245.198644,C,,ARBM15Q1R2,1686452483000,
3317901,2022249006500,2022,249006500,FHP22ON0195690,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1650326400000,1235,02,TUESDAY,0100,5300,N,US 41,PINETRAIL RD,0.0,,26.8732,-82.00494,26.8731952,-82.0049421,01010000,8.484,00180,SR 45,US 41,L,2,E,23,02,02,01,03,02,35,1621296000000,14,24.0,01,PAVED,4.0,03,LAWN,12.0,,,0.0,41.0,16200.0,RCI,9.0,1D0000,60.0,4,31,0,02,01,01,01,01,1,01,01,"TWO-WAY, NOT DIVIDED",04,"TWO-WAY, DIVIDED, POSITIVE MED",06,STOP SIGN,01,NO CONTROLS,"06, 01",4,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",14,03,03,03,FAILED TO YIELD RIGHT-OF-WAY,01,NO CONTRIBUTING ACTION,"03, 01",00,00,00,00,01,4,0,3,0,3,0,3,4,N,N,N,Y,N,"00, 00, 03, 00",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,0,0,0,0.0,0,0.0,26.873116584,-82.005137676,400160.343512,2972777.739515,L,,ARBM15Q1R2,1686452483000,
3317902,2022249006510,2022,249006510,FHP22ON0203536,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1650672000000,1446,06,SATURDAY,0100,5300,N,I 75,CR 768,0.095,S,26.9025,-82.0078299,26.883633,-81.9896395,01075000,10.7,00577,SR 93,I 75,R,S,N,02,01,01,01,01,01,35,1621296000000,01,36.0,01,PAVED,6.0,03,LAWN,2.0,05,VALLEY GUTR,10.0,66.0,57500.0,RCI,13.2,,70.0,4,31,0,01,01,01,01,01,1,04,04,"TWO-WAY, DIVIDED, POSITIVE MED",,,01,NO CONTROLS,00,NOT CODED,"01, 00",6,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,77,01,01,NO CONTRIBUTING ACTION,00,NOT CODED,"01, 00",00,00,00,00,01,1,0,1,0,1,0,1,1,N,N,N,N,Y,"00, 00, 00, 04",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,0,0.0,0,0.0,26.883617572,-81.989671154,401705.79875,2973928.813308,R,,ARBM15Q1R2,1686452483000,
3317903,2022249006560,2022,249006560,FHP22ON0219951,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1651449600000,0750,01,MONDAY,0100,5300,N,I 75,LEE COUNTY LINE,5.0,N,26.77881,-81.89248,26.8175093,-81.9392096,01075000,5.0,00567,SR 93,I 75,L,S,S,02,01,01,02,01,01,37,1621296000000,01,36.0,02,PAVED WARN,10.0,03,LAWN,12.0,,,0.0,142.0,49500.0,RCI,16.0,,70.0,0,31,0,01,01,01,01,01,1,04,04,"TWO-WAY, DIVIDED, POSITIVE MED",,,01,NO CONTROLS,00,NOT CODED,"01, 00",6,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",25,77,01,00,NOT CODED,00,NOT CODED,"00, 00",00,00,00,00,01,0,0,0,0,0,0,1,0,N,N,N,N,Y,"00, 00, 00, 04",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0.0,0,0.0,26.817136688,-81.939607775,406623.821054,2966527.150058,L,,ARBM15Q1R2,1686452483000,
3318235,2022249006570,2022,249006570,FHP22ON0227559,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1651795200000,0812,05,FRIDAY,0100,5300,N,SR 776,SEA MIST DR,0.0,,26.9328399,-82.2568799,26.9326299,-82.2566784,01050000,7.268,00365,SR 776,,L,2,N,23,03,01,01,02,02,39,1565568000000,16,24.0,01,PAVED,5.0,03,LAWN,12.0,,,0.0,47.0,25500.0,RCI,6.6,,55.0,4,31,0,02,01,01,01,01,1,01,01,"TWO-WAY, NOT DIVIDED",04,"TWO-WAY, DIVIDED, POSITIVE MED",06,STOP SIGN,01,NO CONTROLS,"06, 01",4,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",14,03,01,03,FAILED TO YIELD RIGHT-OF-WAY,01,NO CONTRIBUTING ACTION,"03, 01",00,00,00,00,01,3,0,2,0,2,0,2,3,N,N,N,Y,N,"00, 00, 03, 00",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0.0,0,0.0,26.932834272,-82.256583434,375247.913845,2979615.751112,L,,ARBM15Q1R2,1686452483000,
3318253,2022248946880,2022,248946880,FHP22ON0064135,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1644278400000,1628,02,TUESDAY,0100,5300,N,I 75,CR 776,1.0,N,26.9993729,-82.0362378,26.992698,-82.0311012,01075000,18.906,00608,SR 93,I 75,R,3,S,01,01,01,01,01,01,35,1621296000000,11,36.0,02,PAVED WARN,10.0,03,LAWN,12.0,,,0.0,275.0,61000.0,RCI,14.5,D15',70.0,5,31,0,01,01,03,02,01,1,04,04,"TWO-WAY, DIVIDED, POSITIVE MED",04,"TWO-WAY, DIVIDED, POSITIVE MED",01,NO CONTROLS,01,NO CONTROLS,"01, 01",6,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",14,01,01,02,OPERATED MV IN CARLESS OR NEGL,01,NO CONTRIBUTING ACTION,"02, 01",00,00,00,00,01,0,1,0,0,2,0,2,2,N,N,Y,N,N,"00, 02, 00, 00",N,N,N,N,N,N,"00, 00, 00, 00",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,0,0,0,0.0,0,0.0,26.992822918,-82.031172206,397682.290028,2986058.241733,R,,ARBM15Q1R2,1686452483000,
3318258,2022248959870,2022,248959870,FHP22ON0072010,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1644624000000,2203,06,SATURDAY,0100,5300,N,US 17,PERSAY DR,0.004,N,26.96087,-81.98586,26.9610291,-81.9855499,01040000,4.74,00035,SR 35,US 17,L,S,E,20,02,01,02,01,03,41,1565568000000,14,22.0,01,PAVED,4.0,06,CURB&GUTTER,2.0,,,0.0,52.0,16000.0,RCI,20.9,,50.0,4,31,1,01,04,01,01,01,1,04,04,"TWO-WAY, DIVIDED, POSITIVE MED",,,01,NO CONTROLS,00,NOT CODED,"01, 00",4,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,77,01,02,OPERATED MV IN CARLESS OR NEGL,00,NOT CODED,"02, 00",00,00,00,00,01,1,0,1,0,1,0,1,1,N,N,N,N,Y,"00, 00, 00, 04",N,N,Y,N,N,N,"00, 02, 00, 00",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,0,0.0,0,0.0,26.961167724,-81.985726099,402164.566067,2982515.812093,L,,ARBM15Q1R2,1686452483000,
3318260,2022248959900,2022,248959900,FHP22ON0079183,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1645056000000,0146,04,THURSDAY,0100,5300,N,I 75,CR 762,1.0,N,26.8703,-81.97538,26.8714259,-81.9765111,01075000,9.535,00576,SR 93,I 75,L,S,S,02,01,01,02,01,01,35,1621296000000,01,36.0,02,PAVED WARN,10.0,03,LAWN,12.0,,,0.0,66.0,57500.0,RCI,13.2,D00',70.0,4,31,0,01,04,01,01,01,1,04,04,"TWO-WAY, DIVIDED, POSITIVE MED",,,01,NO CONTROLS,00,NOT CODED,"01, 00",6,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",33,77,01,02,OPERATED MV IN CARLESS OR NEGL,00,NOT CODED,"02, 00",00,00,00,00,01,1,0,1,0,1,0,1,1,N,N,Y,N,Y,"00, 02, 00, 04",N,N,N,N,N,Y,"00, 00, 00, 04",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0.0,0,0.0,26.871270936,-81.97681526,402972.179455,2972551.305632,L,,ARBM15Q1R2,1686452483000,
3318317,2022872989940,2022,872989940,FHP22ON0020193,1,FLORIDA HIGHWAY PATROL,01,01,CHARLOTTE,1642032000000,1626,04,THURSDAY,0100,5300,N,I 75,CR 768,0.3,N,26.8985535,-82.0056039,26.8877578,-81.9940955,01075000,11.095,00581,SR 93,I 75,M,M,N,02,01,01,01,01,02,35,1621296000000,01,36.0,02,PAVED WARN,10.0,03,LAWN,12.0,,,0.0,66.0,57500.0,RCI,13.2,,70.0,3,31,0,01,01,01,01,01,1,04,04,"TWO-WAY, DIVIDED, POSITIVE MED",04,"TWO-WAY, DIVIDED, POSITIVE MED",01,NO CONTROLS,01,NO CONTROLS,"01, 01",6,01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",01,NONE,00,NOT CODED,00,NOT CODED,"01, 00, 00",14,04,06,03,FAILED TO YIELD RIGHT-OF-WAY,01,NO CONTRIBUTING ACTION,"03, 01",00,00,00,00,01,2,0,0,0,2,0,2,4,N,N,N,N,Y,"00, 00, 00, 04",N,Y,N,N,N,N,"01, 00, 00, 00",Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,0,0,0,0.0,0,0.0,26.887745664,-81.994129272,401266.579933,2974389.537789,R,,ARBM15Q1R2,1686452483000,
